name,gender,image,weight,type_name,cat_name,user_id
Jetboil MiniMo Cooking System,,/images/seed/essentials/stove/jetboilminimo.jpg,14,Stove,Essentials,
Jetboil Flash Cooking System,,/images/seed/essentials/stove/jetboilflash.jpg,13.1,Stove,Essentials,
Snow Peak LiteMax,,/images/seed/essentials/stove/snowpeaklitemax.jpg,1.9,Stove,Essentials,2
Primus Classic Trail,,/images/seed/essentials/stove/primusclassictrail.jpg,6.7,Stove,Essentials,
MSR Windburner,,/images/seed/essentials/stove/msrwindburner.jpg,15.5,Stove,Essentials,
MSR WhisperLite,,/images/seed/essentials/stove/msrwhisperlite.jpg,11.5,Stove,Essentials,3
Trail Designs Caldera Cone,,/images/seed/essentials/stove/traildesigns.jpg,3.25,Stove,Essentials,
Trangia Spirit Burner,,/images/seed/essentials/stove/trangiaspiritburner.jpg,3.9,Stove,Essentials,
Solo Stove Lite,,/images/seed/essentials/stove/solostovelite.jpg,9,Stove,Essentials,1
Esbit Pocket Stove,,/images/seed/essentials/stove/esbitpocketstove.jpg,3.25,Stove,Essentials,
"Fuel types(Gas, Liquid, Esbit)",,/images/seed/essentials/other/campfuel.jpg,0,Other Essentials,Essentials,
MSR Ceramic 2-Pot Set,,/images/seed/essentials/cookware/msrceramic2pot.jpg,16,Cookware,Essentials,3
Primus PrimeTech 2.3L Pot Set,,/images/seed/essentials/cookware/primusprimetech.jpg,22,Cookware,Essentials,
Stanley Adventure Base Camp,,/images/seed/essentials/cookware/stanleybasecamp.jpg,72,Cookware,Essentials,
Snow Peak Titanium Multi Compact,,/images/seed/essentials/cookware/snowpeaktitanium.jpg,7,Cookware,Essentials,
GSI Outdoors Bugaboo Camper,,/images/seed/essentials/cookware/gsioutdoorsbugaboo.jpg,55,Cookware,Essentials,2
Katadyn Hiker Pro Clear,,/images/seed/essentials/water_filter_purifier/katadynhikerproclear.jpg,11,Water Filter/Purifier,Essentials,
MSR Guardian,,/images/seed/essentials/water_filter_purifier/msrguardian.jpg,17.3,Water Filter/Purifier,Essentials,
Sawyer Squeeze,,/images/seed/essentials/water_filter_purifier/sawyersqueeze.jpg,3,Water Filter/Purifier,Essentials,3
Platypus GravityWorks 4L,,/images/seed/essentials/water_filter_purifier/platypusgravityworks4l.jpg,11.5,Water Filter/Purifier,Essentials,
SteriPen Ultra,,/images/seed/essentials/water_filter_purifier/steripen.jpg,4.8,Water Filter/Purifier,Essentials,
Aquamira Water Treatment Drops,,/images/seed/essentials/water_filter_purifier/aquamira.jpg,2,Water Filter/Purifier,Essentials,
Smartwater Bottle 1L,,/images/seed/essentials/water_bottle_reservoir/smartwaterbottle.jpg,1.2,Water Bottle/Reservoir,Essentials,
Hydro Flask Wide Mouth,,/images/seed/essentials/water_bottle_reservoir/hydroflaskwidemouth.jpg,14.1,Water Bottle/Reservoir,Essentials,
Nalgene Wide Mouth,,/images/seed/essentials/water_bottle_reservoir/nalgene.jpg,6.3,Water Bottle/Reservoir,Essentials,
Platypus Big Zip LP,,/images/seed/essentials/water_bottle_reservoir/platypusbigzip.jpg,6.25,Water Bottle/Reservoir,Essentials,
Osprey Hydraulics LT Reservoir,,/images/seed/essentials/water_bottle_reservoir/ospreyhydraulics.jpg,6.15,Water Bottle/Reservoir,Essentials,
CamelBak Crux Reservoir,,/images/seed/essentials/water_bottle_reservoir/camelbakcrux.jpg,8,Water Bottle/Reservoir,Essentials,
Black Diamond Spot,,/images/seed/essentials/headlamp/bdspot.jpg,3.1,Headlamp,Essentials,
Petzl Actik,,/images/seed/essentials/headlamp/petzlactik.jpg,2.9,Headlamp,Essentials,
Petzl Tikka,,/images/seed/essentials/headlamp/petzltikka.jpg,3,Headlamp,Essentials,
Black Diamond Iota,,/images/seed/essentials/headlamp/bdiota.jpg,1.9,Headlamp,Essentials,
Princeton Tec Vizz,,/images/seed/essentials/headlamp/princetontecvizz.jpg,3.2,Headlamp,Essentials,
Petzl e+LITE,,/images/seed/essentials/headlamp/petzlelite.jpg,0.92,Headlamp,Essentials,
Compass,,/images/seed/essentials/navigation/compas.jpg,0,Navigation,Essentials,
Maps,,/images/seed/essentials/navigation/maps.jpg,0,Navigation,Essentials,
Handheld GPS,,/images/seed/essentials/navigation/handheldgps.jpg,0,Navigation,Essentials,
Adventure Medical Kits Ultralight and Watertight .3 First Aid Kit,,/images/seed/essentials/first_aid/amk3.jpg,2.32,First Aid,Essentials,1
Adventure Medical Kits Ultralight and Watertight .7 First Aid Kit,,/images/seed/essentials/first_aid/amk7.jpg,8,First Aid,Essentials,
"Ibuprofen - ""Vitamin I""",,/images/seed/essentials/first_aid/ibuprofen.jpg,0,First Aid,Essentials,
Sunglasses,,/images/seed/essentials/other/sunglasses.jpg,1,Other Essentials,Essentials,
Banana Boat Sport Sunscreen SPF 30,,/images/seed/essentials/other/bbsunscreen.jpg,1,Other Essentials,Essentials,
Montbell Sun Block Umbrella,,/images/seed/essentials/other/montbell.jpg,7.1,Other Essentials,Essentials,
Kiss My Face Sport Lip Balm - SPF 30,,/images/seed/essentials/other/kissmyfacebalm.jpg,0.15,Other Essentials,Essentials,
Tenacious Tape,,/images/seed/essentials/repair_kit/tenacious_tape.jpg,0,Repair Kit,Essentials,
Duct tape - 3ft,,/images/seed/essentials/repair_kit/duct_tape.jpg,0,Repair Kit,Essentials,3
Tent pole repair sleeve,,/images/seed/essentials/repair_kit/tent_pole_splint.jpg,0,Repair Kit,Essentials,
Multitool w/ scissors,,/images/seed/essentials/repair_kit/multitool.jpg,0,Repair Kit,Essentials,
Needle and thread(or dental floss),,/images/seed/essentials/repair_kit/needleandthread.jpg,0,Repair Kit,Essentials,
Safety pins,,/images/seed/essentials/repair_kit/pins.jpg,0,Repair Kit,Essentials,
Osprey Ultralight Raincover,,/images/seed/essentials/other/ulospreyraincover.jpg,0.18,Other Essentials,Essentials,
Permit - if required,,/images/seed/essentials/other/permit.jpg,0,Other Essentials,Essentials,2
GSI Cathole Sanitation Trowel,,/images/seed/essentials/other/gsitrowel.jpg,3.1,Other Essentials,Essentials,
The TentLab The Deuce #2 Backcountry Trowel,,/images/seed/essentials/other/thedeuce.jpg,0.6,Other Essentials,Essentials,
"Weight (Lightweight, Midweight, Heavyweight)",U,/images/seed/clothing/top_baselayer/noimage.jpg,0,Top Baselayer,Clothing,
"Fabric (Synthetic, Wool, Silk)",U,/images/seed/clothing/top_baselayer/noimage.jpg,0,Top Baselayer,Clothing,
"Weight (Lightweight, Midweight, Heavyweight)",U,/images/seed/clothing/bottom_baselayer/noimage.jpg,0,Bottom Baselayer,Clothing,
"Fabric (Synthetic, Wool, Silk)",U,/images/seed/clothing/bottom_baselayer/noimage.jpg,0,Bottom Baselayer,Clothing,
ExOfficio Give-N-Go Sport Mesh Hipkini,W,/images/seed/clothing/undergarments/exofficiohipkini.jpg,1.1,Undergarments,Clothing,
Smartwool Merino 150 Bikini,W,/images/seed/clothing/undergarments/smartwoolbikini150.jpg,0.7,Undergarments,Clothing,
Patagonia Barely Hipster,W,/images/seed/clothing/undergarments/pategoniabarely.jpg,0.8,Undergarments,Clothing,
Smartwool NTS Micro 150 Boxer Brief,M,/images/seed/clothing/undergarments/smartwoolboxer150.jpg,2.6,Undergarments,Clothing,
ExOfficio Give-N-Go Sport Boxer Briefs,M,/images/seed/clothing/undergarments/exofficioboxer.jpg,3.4,Undergarments,Clothing,
Brooks Juno Bra,W,/images/seed/clothing/undergarments/junosportbra.jpg,0,Undergarments,Clothing,2
Patagonia Barely Bra,W,/images/seed/clothing/undergarments/pategoniabra.jpg,0,Undergarments,Clothing,
Shock Absorber Ultimate Fly Bra,W,/images/seed/clothing/undergarments/shockabsorberflybra.jpg,0,Undergarments,Clothing,
Marmot Lobo's Convertible Pants,W,/images/seed/clothing/bottoms/marmotlobo.jpg,0,Bottoms,Clothing,
Prana Halle,W,/images/seed/clothing/bottoms/pranahalle.jpg,0,Bottoms,Clothing,
Purple Rain Adventure Skirt,W,/images/seed/clothing/bottoms/purplerainskirt.jpg,0,Bottoms,Clothing,
Outdoor Reasearch Ferrosi Pants,M,/images/seed/clothing/bottoms/orferrosi.jpg,0,Bottoms,Clothing,
Columbia Silver Ridge Convertible,M,/images/seed/clothing/bottoms/columbiasilverridge.jpg,0,Bottoms,Clothing,1
Mountain Hardwear Elkommando Kilt,M,/images/seed/clothing/bottoms/mhelkommandokilt.jpg,0,Bottoms,Clothing,
ExOfficio Bugs Away,W,/images/seed/clothing/tops/exofficiobugsaway.jpg,0,Tops,Clothing,
